value,ignore,type,docRequired,selRequired,minVersion,maxVersion,en,de,ru,zh-cn,notes
Planet X Options,FALSE,menu,FALSE,FALSE,,,Object > Live Paint > Gap Options...,Objekt > Interaktiv malen > Lückenoptionen …,Объект > Быстрая заливка > Параметры зазоров…,,
Expand Planet X,FALSE,menu,TRUE,TRUE,,,Object > Live Paint > Expand,Objekt > Interaktiv malen > Umwandeln,Объект > Быстрая заливка > Разобрать,,
Make Image Tracing,FALSE,menu,TRUE,TRUE,,,Object > Image Trace > Make,Objekt > Bildnachzeichner > Erstellen,Объект > Трассировка изображения > Создать,,
Make and Expand Image Tracing,FALSE,menu,TRUE,TRUE,,,Object > Image Trace > Make and Expand,Objekt > Bildnachzeichner > Erstellen und umwandeln,Объект > Трассировка изображения > Создать и разобрать,,
Release Image Tracing,FALSE,menu,TRUE,TRUE,,,Object > Image Trace > Release,Objekt > Bildnachzeichner > Zurückwandeln,Объект > Трассировка изображения > Расформировать,,
Expand Image Tracing,FALSE,menu,TRUE,TRUE,,,Object > Image Trace > Expand,Objekt > Bildnachzeichner > Umwandeln,Объект > Трассировка изображения > Разобрать,,
Make Vector Edge,FALSE,menu,TRUE,TRUE,28,,Object > Mockup > Make,,,,
Release Vector Edge,FALSE,menu,TRUE,TRUE,28,,Object > Mockup > Release,,,,
Edit Vector Edge,FALSE,menu,TRUE,TRUE,28,,Object > Mockup > Edit,,,,
Make Text Wrap,FALSE,menu,TRUE,TRUE,,,Object > Text Wrap > Make,Objekt > Textumfluss > Erstellen,Объект > Обтекание текстом > Создать,,
Release Text Wrap,FALSE,menu,TRUE,TRUE,,,Object > Text Wrap > Release,Objekt > Textumfluss > Zurückwandeln,Объект > Обтекание текстом > Освободить,,
Text Wrap Options...,FALSE,menu,FALSE,FALSE,,,Object > Text Wrap > Text Wrap Options...,Objekt > Textumfluss > Textumflussoptionen …,Объект > Обтекание текстом > Параметры обтекания текстом...,,
makeMask,FALSE,menu,TRUE,TRUE,,,Object > Clipping Mask > Make,Objekt > Schnittmaske > Erstellen,Объект > Обтравочная маска > Создать,,
releaseMask,FALSE,menu,TRUE,TRUE,,,Object > Clipping Mask > Release,Objekt > Schnittmaske > Zurückwandeln,Объект > Обтравочная маска > Отменить,,
editMask,FALSE,menu,TRUE,TRUE,,,Object > Clipping Mask > Edit Mask,Objekt > Schnittmaske > Maske bearbeiten,Объект > Обтравочная маска > Редактировать маску,,
compoundPath,FALSE,menu,TRUE,TRUE,,,Object > Compound Path > Make,Objekt > Zusammengesetzter Pfad > Erstellen,Объект > Составной контур > Создать,,
noCompoundPath,FALSE,menu,TRUE,TRUE,,,Object > Compound Path > Release,Objekt > Zusammengesetzter Pfad > Zurückwandeln,Объект > Составной контур > Отменить,,
setCropMarks,FALSE,menu,TRUE,TRUE,,,Object > Artboards > Convert to Artboards,Objekt > Zeichenflächen > In Zeichenflächen konvertieren,Объект > Монтажные области > Преобразовать в монтажные области,,
ReArrange Artboards,FALSE,menu,TRUE,FALSE,,,Object > Artboards > Rearrange All Artboards,Objekt > Zeichenflächen > Alle Zeichenflächen neu anordnen,Объект > Монтажные области > Переупорядочить все монт. обл.,,
Fit Artboard to artwork bounds,FALSE,menu,TRUE,FALSE,,,Object > Artboards > Fit to Artwork Bounds,Objekt > Zeichenflächen > An Bildmaterialbegrenzungen anpassen,Объект > Монтажные области > Подогнать по границам иллюстрации,,
Fit Artboard to selected Art,FALSE,menu,TRUE,TRUE,,,Object > Artboards > Fit to Selected Art,Objekt > Zeichenflächen > An ausgewählte Grafik anpassen,Объект > Монтажные области > Подогнать по границам выделенной иллюстрации,,
setGraphStyle,FALSE,menu,TRUE,FALSE,,,Object > Graph > Type...,Objekt > Diagramm > Art …,Объект > Диаграмма > Тип…,,
editGraphData,FALSE,menu,TRUE,TRUE,,,Object > Graph > Data...,Objekt > Diagramm > Daten …,Объект > Диаграмма > Данные…,,
graphDesigns,FALSE,menu,TRUE,TRUE,,,Object > Graph > Design...,Objekt > Diagramm > Designs …,Объект > Диаграмма > Оформление…,,
setBarDesign,FALSE,menu,TRUE,TRUE,,,Object > Graph > Column...,Objekt > Diagramm > Balken …,Объект > Диаграмма > Столбец…,,
setIconDesign,FALSE,menu,TRUE,TRUE,,,Object > Graph > Marker...,Objekt > Diagramm > Punkte …,Объект > Диаграмма > Маркер…,,
Browse Typekit Fonts Menu IllustratorUI,FALSE,menu,FALSE,FALSE,17.1,,Type > More from Adobe Fonts...,Schrift > Mehr bei Adobe Fonts …,Текст > Найти больше в Adobe Fonts...,,
alternate glyph palette plugin,FALSE,menu,FALSE,FALSE,,,Type > Glyphs,Schrift > Glyphen,Текст > Глифы,,
point-area,FALSE,menu,TRUE,TRUE,29.4,,Type > Convert to Area Type / Point Type,,,,
area-type-options,FALSE,menu,TRUE,TRUE,,,Type > Area Type Options...,Schrift > Flächentextoptionen …,Текст > Параметры текста в области…,,
Rainbow,FALSE,menu,TRUE,TRUE,,,Type > Type on a Path > Rainbow,Schrift > Pfadtext > Regenbogen,Текст > Текст по контуру > Радуга,,
Skew,FALSE,menu,TRUE,TRUE,,,Type > Type on a Path > Skew,Schrift > Pfadtext > Asymmetrie,Текст > Текст по контуру > Наклон,,
3D ribbon,FALSE,menu,TRUE,TRUE,,,Type > Type on a Path > 3D Ribbon,Schrift > Pfadtext > 3D-Band,Текст > Текст по контуру > Каскад,,
Stair Step,FALSE,menu,TRUE,TRUE,,,Type > Type on a Path > Stair Step,Schrift > Pfadtext > Treppenstufe,Текст > Текст по контуру > Лесенка,,
Gravity,FALSE,menu,TRUE,TRUE,,,Type > Type on a Path > Gravity,Schrift > Pfadtext > Schwerkraft,Текст > Текст по контуру > Гравитация,,
typeOnPathOptions,FALSE,menu,TRUE,TRUE,,,Type > Type on a Path > Type on a Path Options...,Schrift > Pfadtext > Pfadtextoptionen …,Текст > Текст по контуру > Параметры текста по контуру...,,
updateLegacyTOP,FALSE,menu,TRUE,TRUE,,,Type > Type on a Path > Update Legacy Type on a Path,Schrift > Pfadtext > Alten Pfadtext aktualisieren,Текст > Текст по контуру > Обновить прежнюю версию текста по контуру,,
threadTextCreate,FALSE,menu,TRUE,TRUE,,,Type > Threaded Text > Create,Schrift > Verketteter Text > Erstellen,Текст > Связанные текстовые блоки > Связать,,
releaseThreadedTextSelection,FALSE,menu,TRUE,TRUE,,,Type > Threaded Text > Release Selection,Schrift > Verketteter Text > Auswahl zurückwandeln,Текст > Связанные текстовые блоки > Исключить выделенные,,
removeThreading,FALSE,menu,TRUE,TRUE,,,Type > Threaded Text > Remove Threading,Schrift > Verketteter Text > Verkettung entfernen,Текст > Связанные текстовые блоки > Удалить связь текстовых блоков,,
fitHeadline,FALSE,menu,TRUE,TRUE,,,Type > Fit Headline,Schrift > Überschrift einpassen,Текст > Разогнать заголовок,,
Adobe IllustratorUI Resolve Missing Font,FALSE,menu,TRUE,FALSE,,,Type > Resolve Missing Fonts...,Schrift > Fehlende Schriftarten auflösen …,Текст > Сопоставить отсутствующие шрифты...,,
Adobe Illustrator Find Font Menu Item,FALSE,menu,TRUE,FALSE,,,Type > Find/Replace Font...,Schrift > Schriftart suchen/ersetzen …,Текст > Найти/заменить шрифт...,,
UpperCase Change Case Item,FALSE,menu,TRUE,TRUE,,,Type > Change Case > UPPERCASE,Schrift > Groß-/Kleinschreibung ändern > GROSSBUCHSTABEN,Текст > Изменить регистр > ВСЕ ПРОПИСНЫЕ,,
LowerCase Change Case Item,FALSE,menu,TRUE,TRUE,,,Type > Change Case > lowercase,Schrift > Groß-/Kleinschreibung ändern > kleinbuchstaben,Текст > Изменить регистр > все строчные,,
Title Case Change Case Item,FALSE,menu,TRUE,TRUE,,,Type > Change Case > Title Case,Schrift > Groß-/Kleinschreibung ändern > Erster Buchstabe Im Wort Groß,Текст > Изменить регистр > Прописная В Начале Каждого Слова,,
Sentence case Change Case Item,FALSE,menu,TRUE,TRUE,,,Type > Change Case > Sentence case,Schrift > Groß-/Kleinschreibung ändern > Erster buchstabe im satz groß,Текст > Изменить регистр > Прописная в начале предложения,,
Adobe Illustrator Smart Punctuation Menu Item,FALSE,menu,TRUE,FALSE,,,Type > Smart Punctuation...,Schrift > Satz-/Sonderzeichen …,Текст > Типографская пунктуация...,,
outline,FALSE,menu,TRUE,TRUE,,,Type > Create Outlines,Schrift > In Pfade umwandeln,Текст > Преобразовать в кривые,,
Adobe Optical Alignment Item,FALSE,menu,TRUE,TRUE,,,Type > Optical Margin Alignment,Schrift > Optischer Randausgleich,Текст > Визуальное выравнивание полей,,
convert list style to text,FALSE,menu,TRUE,TRUE,27.1,,Type > Bullets and Numbering > Convert to text,Schrift > Aufzählungszeichen und Nummerierung > In Text konvertieren,,,
showHiddenChar,FALSE,menu,TRUE,FALSE,,,Type > Show Hidden Characters,Schrift > Verborgene Zeichen einblenden / ausblenden,Текст > Показать скрытые символы,,
type-horizontal,FALSE,menu,TRUE,TRUE,,,Type > Type Orientation > Horizontal,Schrift > Textausrichtung > Horizontal,Текст > Ориентация текста > Горизонтальная,,
type-vertical,FALSE,menu,TRUE,TRUE,,,Type > Type Orientation > Vertical,Schrift > Textausrichtung > Vertikal,Текст > Ориентация текста > Вертикальная,,
selectall,FALSE,menu,TRUE,FALSE,,,Select > All,Auswahl > Alles auswählen,Выделение > Все,,
selectallinartboard,FALSE,menu,TRUE,FALSE,,,Select > All on Active Artboard,Auswahl > Alles auf der aktiven Zeichenfläche,Выделение > Все объекты в активной монтажной области,,
deselectall,FALSE,menu,TRUE,TRUE,,,Select > Deselect,Auswahl > Auswahl aufheben,Выделение > Отменить выделение,,
Find Reselect menu item,FALSE,menu,TRUE,TRUE,,,Select > Reselect,Auswahl > Erneut auswählen,Выделение > Выделить снова,,
Inverse menu item,FALSE,menu,TRUE,FALSE,,,Select > Inverse,Auswahl > Auswahl umkehren,Выделение > Инверсия,,
Selection Hat 8,FALSE,menu,TRUE,TRUE,,,Select > Next Object Above,Auswahl > Nächstes Objekt darüber,Выделение > Следующий объект сверху,,
Selection Hat 9,FALSE,menu,TRUE,TRUE,,,Select > Next Object Below,Auswahl > Nächstes Objekt darunter,Выделение > Следующий объект снизу,,
Find Appearance menu item,FALSE,menu,TRUE,FALSE,,,Select > Same > Appearance,Auswahl > Gleich > Aussehen,Выделение > По общему признаку > Оформление,,
Find Appearance Attributes menu item,FALSE,menu,TRUE,TRUE,,,Select > Same > Appearance Attribute,Auswahl > Gleich > Aussehensattribute,Выделение > По общему признаку > Атрибуты оформления,,
Find Blending Mode menu item,FALSE,menu,TRUE,FALSE,,,Select > Same > Blending Mode,Auswahl > Gleich > Füllmethode,Выделение > По общему признаку > С одинаковым режимом наложения,,
Find Fill & Stroke menu item,FALSE,menu,TRUE,FALSE,,,Select > Same > Fill & Stroke,Auswahl > Gleich > Fläche und Kontur,Выделение > По общему признаку > С одинаковыми заливкой и обводкой,,
Find Fill Color menu item,FALSE,menu,TRUE,FALSE,,,Select > Same > Fill Color,Auswahl > Gleich > Flächenfarbe,Выделение > По общему признаку > С одинаковым цветом заливки,,
Find Opacity menu item,FALSE,menu,TRUE,FALSE,,,Select > Same > Opacity,Auswahl > Gleich > Deckkraft,Выделение > По общему признаку > С одинаковой непрозрачностью,,
Find Stroke Color menu item,FALSE,menu,TRUE,FALSE,,,Select > Same > Stroke Color,Auswahl > Gleich > Konturfarbe,Выделение > По общему признаку > С одинаковым цветом обводки,,
Find Stroke Weight menu item,FALSE,menu,TRUE,FALSE,,,Select > Same > Stroke Weight,Auswahl > Gleich > Konturstärke,Выделение > По общему признаку > С одинаковой толщиной обводки,,
Find Style menu item,FALSE,menu,TRUE,TRUE,,,Select > Same > Graphic Style,Auswahl > Gleich > Grafikstil,Выделение > По общему признаку > Стиль графики,,
Find Live Shape menu item,FALSE,menu,TRUE,TRUE,,,Select > Same > Shape,Auswahl > Gleich > Form,Выделение > По общему признаку > Фигура,,
Find Symbol Instance menu item,FALSE,menu,TRUE,TRUE,,,Select > Same > Symbol Instance,Auswahl > Gleich > Symbolinstanz,Выделение > По общему признаку > Одинаковые образцы символа,,
Find Link Block Series menu item,FALSE,menu,TRUE,TRUE,,,Select > Same > Link Block Series,Auswahl > Gleich > Verknüpfungsblockreihen,Выделение > По общему признаку > Последовательность связанных блоков,,
Find Text Font Family menu item,FALSE,menu,TRUE,FALSE,26,,Select > Same > Font Family,Auswahl > Gleich > Schriftfamilie,Выделение > По общему признаку > Семейство шрифтов,,
Find Text Font Family Style menu item,FALSE,menu,TRUE,FALSE,26,,Select > Same > Font Family & Style,Auswahl > Gleich > Schriftfamilie und -schnitt,Выделение > По общему признаку > Семейство и стиль шрифтов,,
Find Text Font Family Style Size menu item,FALSE,menu,TRUE,FALSE,26,,"Select > Same > Font Family, Style & Size","Auswahl > Gleich > Schriftfamilie, -schnitt und -grad","Выделение > По общему признаку > Семейство, стиль и размер шрифтов",,
Find Text Font Size menu item,FALSE,menu,TRUE,FALSE,26,,Select > Same > Font Size,Auswahl > Gleich > Schriftgrad,Выделение > По общему признаку > Размер шрифта,,
Find Text Fill Color menu item,FALSE,menu,TRUE,FALSE,26,,Select > Same > Text Fill Color,Auswahl > Gleich > Textflächenfarbe,Выделение > По общему признаку > Цвет заливки текста,,
Find Text Stroke Color menu item,FALSE,menu,TRUE,FALSE,26,,Select > Same > Text Stroke Color,Auswahl > Gleich > Textkonturfarbe,Выделение > По общему признаку > Цвет обводки текста,,
Find Text Fill Stroke Color menu item,FALSE,menu,TRUE,FALSE,26,,Select > Same > Text Fill & Stroke Color,Auswahl > Gleich > Textflächen- und -konturfarbe,Выделение > По общему признаку > Цвет заливки и обводки текста,,
Selection Hat 3,FALSE,menu,TRUE,TRUE,,,Select > Object > All on Same Layers,Auswahl > Objekt > Alles auf denselben Ebenen,Выделение > По типу объектов > Все на этом же слое,,
Selection Hat 1,FALSE,menu,TRUE,TRUE,,,Select > Object > Direction Handles,Auswahl > Objekt > Richtungsgriffe,Выделение > По типу объектов > Управляющие манипуляторы,,
Bristle Brush Strokes menu item,FALSE,menu,TRUE,FALSE,,,Select > Object > Bristle Brush Strokes,Auswahl > Objekt > Borstenpinselstriche,Выделение > По типу объектов > Мазки для кисти из щетины,,
Brush Strokes menu item,FALSE,menu,TRUE,FALSE,,,Select > Object > Brush Strokes,Auswahl > Objekt > Pinselkonturen,Выделение > По типу объектов > Мазки кисти,,
Clipping Masks menu item,FALSE,menu,TRUE,FALSE,,,Select > Object > Clipping Masks,Auswahl > Objekt > Schnittmasken,Выделение > По типу объектов > Обтравочные маски,,
Stray Points menu item,FALSE,menu,TRUE,FALSE,,,Select > Object > Stray Points,Auswahl > Objekt > Einzelne Ankerpunkte,Выделение > По типу объектов > Изолированные точки,,
Text Objects menu item,FALSE,menu,TRUE,FALSE,,,Select > Object > All Text Objects,Auswahl > Objekt > Alle Textobjekte,Выделение > По типу объектов > Все объекты текста,,
Point Text Objects menu item,FALSE,menu,TRUE,FALSE,,,Select > Object > Point Text Objects,Auswahl > Objekt > Punkttextobjekte,Выделение > По типу объектов > Объекты текста из точки,,
Area Text Objects menu item,FALSE,menu,TRUE,FALSE,,,Select > Object > Area Text Objects,Auswahl > Objekt > Flächenttextobjekte,Выделение > По типу объектов > Объекты текста в области,,
SmartEdit Menu Item,FALSE,menu,TRUE,TRUE,23,,Select > Start/Stop Global Edit,Auswahl > Globale Bearbeitung starten/anhalten,Выделение > Начать глобальное изменение,,
Selection Hat 10,FALSE,menu,TRUE,TRUE,,,Select > Save Selection...,Auswahl > Auswahl speichern …,Выделение > Сохранить выделенную область…,,
Selection Hat 11,FALSE,menu,TRUE,TRUE,,,Select > Edit Selection...,Auswahl > Auswahl bearbeiten …,Выделение > Редактировать выделенную область…,,
Selection Hat 14,FALSE,menu,TRUE,TRUE,28,,Select > Update Selection,,,,
Adobe Apply Last Effect,FALSE,menu,TRUE,FALSE,,,Effect > Apply Last Effect,Effekt > Letzten Effekt anwenden,Эффект > Применить последний эффект,,
Adobe Last Effect,FALSE,menu,TRUE,FALSE,,,Effect > Last Effect,Effekt > Letzter Effekt,Эффект > Последний эффект,,
Live Rasterize Effect Setting,FALSE,menu,TRUE,FALSE,,,Effect > Document Raster Effects Settings...,Effekt > Dokument-Rastereffekt-Einstellungen …,Эффект > Параметры растровых эффектов в документе...,,
Live Adobe Geometry3D Extrude,FALSE,menu,TRUE,FALSE,26,,Effect > 3D and Materials > Extrude & Bevel...,Effekt > 3D und Materialien > Extrudieren und abgeflachte Kante …,Эффект > 3D и материалы > Вытягивание и фаска...,,
Live Adobe Geometry3D Revolve,FALSE,menu,TRUE,FALSE,26,,Effect > 3D and Materials > Revolve...,Effekt > 3D und Materialien > Kreiseln …,Эффект > 3D и материалы > Вращение…,,
Live Adobe Geometry3D Inflate,FALSE,menu,TRUE,FALSE,26,,Effect > 3D and Materials > Inflate...,Effekt > 3D und Materialien > Aufblasen …,Эффект > 3D и материалы > Раздувание…,,
Live Adobe Geometry3D Rotate,FALSE,menu,TRUE,FALSE,26,,Effect > 3D and Materials > Rotate...,Effekt > 3D und Materialien > Drehen …,Эффект > 3D и материалы > Поворот…,,
Live Adobe Geometry3D Materials,FALSE,menu,TRUE,FALSE,26,,Effect > 3D and Materials > Materials...,Effekt > 3D und Materialien > Materialien …,Эффект > 3D и материалы > Материалы…,,
Live 3DExtrude,FALSE,menu,TRUE,FALSE,26,,Effect > 3D and Materials > 3D (Classic) > Extrude & Bevel (Classic)...,Effekt > 3D (klassisch) > Extrudieren und abgeflachte Kante (klassisch) …,Эффект > 3D (классическое) > Вытягивание и фаска (классический)…,,
Live 3DRevolve,FALSE,menu,TRUE,FALSE,26,,Effect > 3D and Materials > 3D (Classic) > Revolve (Classic)...,Effekt > 3D (klassisch) > Kreiseln (klassisch) …,Эффект > 3D (классическое) > Вращение (классическое)…,,
Live 3DRotate,FALSE,menu,TRUE,FALSE,26,,Effect > 3D and Materials > 3D (Classic) > Rotate (Classic)...,Effekt > 3D (klassisch) > Drehen (klassisch) …,Эффект > 3D (классическое) > Поворот (классический)…,,
Live Rectangle,FALSE,menu,TRUE,FALSE,,,Effect > Convert to Shape > Rectangle...,Effekt > In Form umwandeln > Rechteck …,Эффект > Преобразовать в фигуру> Прямоугольник…,,
Live Rounded Rectangle,FALSE,menu,TRUE,FALSE,,,Effect > Convert to Shape > Rounded Rectangle...,Effekt > In Form umwandeln > Abgerundetes Rechteck …,Эффект > Преобразовать в фигуру> Прямоугольник со скругленными углами…,,
Live Ellipse,FALSE,menu,TRUE,FALSE,,,Effect > Convert to Shape > Ellipse...,Effekt > In Form umwandeln > Ellipse …,Эффект > Преобразовать в фигуру> Эллипс…,,
Live Trim Marks,FALSE,menu,TRUE,FALSE,,,Effect > Crop Marks,Effekt > Schnittmarken,Эффект > Метки обрезки,,
Live Free Distort,FALSE,menu,TRUE,FALSE,,,Effect > Distort & Transform > Free Distort...,Effekt > Verzerrungs- und Transformationsfilter > Frei verzerren …,Эффект > Исказить и трансформировать > Произвольное искажение...,,
Live Pucker & Bloat,FALSE,menu,TRUE,FALSE,,,Effect > Distort & Transform > Pucker & Bloat...,Effekt > Verzerrungs- und Transformationsfilter > Zusammenziehen und aufblasen …,Эффект > Исказить и трансформировать > Втягивание и раздувание...,,
Live Roughen,FALSE,menu,TRUE,FALSE,,,Effect > Distort & Transform > Roughen...,Effekt > Verzerrungs- und Transformationsfilter > Aufrauen …,Эффект > Исказить и трансформировать > Огрубление...,,
Live Transform,FALSE,menu,TRUE,FALSE,,,Effect > Distort & Transform > Transform...,Effekt > Verzerrungs- und Transformationsfilter > Transformieren …,Эффект > Исказить и трансформировать > Трансформировать...,,
Live Scribble and Tweak,FALSE,menu,TRUE,FALSE,,,Effect > Distort & Transform > Tweak...,Effekt > Verzerrungs- und Transformationsfilter > Tweak …,Эффект > Исказить и трансформировать > Помарки...,,
Live Twist,FALSE,menu,TRUE,FALSE,,,Effect > Distort & Transform > Twist...,Effekt > Verzerrungs- und Transformationsfilter > Wirbel …,Эффект > Исказить и трансформировать > Скручивание...,,
Live Zig Zag,FALSE,menu,TRUE,FALSE,,,Effect > Distort & Transform > Zig Zag...,Effekt > Verzerrungs- und Transformationsfilter > Zickzack …,Эффект > Исказить и трансформировать > Зигзаг...,,
Live Offset Path,FALSE,menu,TRUE,FALSE,,,Effect > Path > Offset Path...,Effekt > Pfad > Pfad verschieben …,Эффект > Контур > Создать параллельный контур...,,
Live Outline Object,FALSE,menu,TRUE,FALSE,,,Effect > Path > Outline Object,Effekt > Pfad > Kontur nachzeichnen,Эффект > Контур > Контурный объект,,
Live Outline Stroke,FALSE,menu,TRUE,FALSE,,,Effect > Path > Outline Stroke,Effekt > Pfad > Konturlinie,Эффект > Контур > Преобразовать обводку в кривые,,
Live Pathfinder Add,FALSE,menu,TRUE,FALSE,,,Effect > Pathfinder > Add,Effekt > Pathfinder > Hinzufügen,Эффект > Обработка контуров > Добавить,,
Live Pathfinder Intersect,FALSE,menu,TRUE,FALSE,,,Effect > Pathfinder > Intersect,Effekt > Pathfinder > Schnittmenge bilden,Эффект > Обработка контуров > Пересечение,,
Live Pathfinder Exclude,FALSE,menu,TRUE,FALSE,,,Effect > Pathfinder > Exclude,Effekt > Pathfinder > Schnittmenge entfernen,Эффект > Обработка контуров > Исключение,,
Live Pathfinder Subtract,FALSE,menu,TRUE,FALSE,,,Effect > Pathfinder > Subtract,Effekt > Pathfinder > Subtrahieren,Эффект > Обработка контуров > Вычитание,,
Live Pathfinder Minus Back,FALSE,menu,TRUE,FALSE,,,Effect > Pathfinder > Minus Back,Effekt > Pathfinder > Hinteres Objekt abziehen,Эффект > Обработка контуров > Минус нижний,,
Live Pathfinder Divide,FALSE,menu,TRUE,FALSE,,,Effect > Pathfinder > Divide,Effekt > Pathfinder > Unterteilen,Эффект > Обработка контуров > Разделение,,
Live Pathfinder Trim,FALSE,menu,TRUE,FALSE,,,Effect > Pathfinder > Trim,Effekt > Pathfinder > Überlappungsbereich entfernen,Эффект > Обработка контуров > Обрезка,,
Live Pathfinder Merge,FALSE,menu,TRUE,FALSE,,,Effect > Pathfinder > Merge,Effekt > Pathfinder > Verdeckte Fläche entfernen,Эффект > Обработка контуров > Объединение,,
Live Pathfinder Crop,FALSE,menu,TRUE,FALSE,,,Effect > Pathfinder > Crop,Effekt > Pathfinder > Schnittmengenfläche,Эффект > Обработка контуров > Кадрировать,,
Live Pathfinder Outline,FALSE,menu,TRUE,FALSE,,,Effect > Pathfinder > Outline,Effekt > Pathfinder > Kontur aufteilen,Эффект > Обработка контуров > Контур,,
Live Pathfinder Hard Mix,FALSE,menu,TRUE,FALSE,,,Effect > Pathfinder > Hard Mix,Effekt > Pathfinder > Hart mischen,Эффект > Обработка контуров > Жесткое смешивание,,
Live Pathfinder Soft Mix,FALSE,menu,TRUE,FALSE,,,Effect > Pathfinder > Soft Mix...,Effekt > Pathfinder > Weich mischen …,Эффект > Обработка контуров > Нежесткое смешивание...,,
Live Pathfinder Trap,FALSE,menu,TRUE,FALSE,,,Effect > Pathfinder > Trap...,Effekt > Pathfinder > Überfüllen …,Эффект > Обработка контуров > Треппинг…,,
Live Rasterize,FALSE,menu,TRUE,FALSE,,,Effect > Rasterize...,Effekt > In Pixelbild umwandeln …,Эффект > Растрировать...,,
Live Adobe Drop Shadow,FALSE,menu,TRUE,FALSE,,,Effect > Stylize > Drop Shadow...,Effekt > Stilisierungsfilter > Schlagschatten …,Эффект > Стилизация > Тень...,,
Live Feather,FALSE,menu,TRUE,FALSE,,,Effect > Stylize > Feather...,Effekt > Stilisierungsfilter > Weiche Kante …,Эффект > Стилизация > Растушевка...,,
Live Inner Glow,FALSE,menu,TRUE,FALSE,,,Effect > Stylize > Inner Glow...,Effekt > Stilisierungsfilter > Schein nach innen …,Эффект > Стилизация > Внутреннее свечение...,,
Live Outer Glow,FALSE,menu,TRUE,FALSE,,,Effect > Stylize > Outer Glow...,Effekt > Stilisierungsfilter > Schein nach außen …,Эффект > Стилизация > Внешнее свечение...,,
Live Adobe Round Corners,FALSE,menu,TRUE,FALSE,,,Effect > Stylize > Round Corners...,Effekt > Stilisierungsfilter > Ecken abrunden …,Эффект > Стилизация > Скругленные углы...,,
Live Scribble Fill,FALSE,menu,TRUE,FALSE,,,Effect > Stylize > Scribble...,Effekt > Stilisierungsfilter > Scribble …,Эффект > Стилизация > Каракули…,,
Live SVG Filters,FALSE,menu,TRUE,FALSE,,,Effect > SVG Filters > Apply SVG Filter...,Effekt > SVG-Filter > SVG-Filter anwenden …,Эффект > Фильтры SVG > Применить SVG-фильтр...,,
SVG Filter Import,FALSE,menu,TRUE,FALSE,,,Effect > SVG Filters > Import SVG Filter...,Effekt > SVG-Filter > SVG-Filter importieren …,Эффект > Фильтры SVG > Импортировать фильтр SVG...,,
Live Deform Arc,FALSE,menu,TRUE,FALSE,,,Effect > Warp > Arc...,Effekt > Verkrümmungsfilter > Bogen …,Эффект > Деформация > Дуга…,,
Live Deform Arc Lower,FALSE,menu,TRUE,FALSE,,,Effect > Warp > Arc Lower...,Effekt > Verkrümmungsfilter > Bogen unten …,Эффект > Деформация > Дуга вниз…,,
Live Deform Arc Upper,FALSE,menu,TRUE,FALSE,,,Effect > Warp > Arc Upper...,Effekt > Verkrümmungsfilter > Bogen oben …,Эффект > Деформация > Дуга вверх…,,
Live Deform Arch,FALSE,menu,TRUE,FALSE,,,Effect > Warp > Arch...,Effekt > Verkrümmungsfilter > Torbogen …,Эффект > Деформация > Арка…,,
Live Deform Bulge,FALSE,menu,TRUE,FALSE,,,Effect > Warp > Bulge...,Effekt > Verkrümmungsfilter > Wulst …,Эффект > Деформация > Выпуклость…,,
Live Deform Shell Lower,FALSE,menu,TRUE,FALSE,,,Effect > Warp > Shell Lower...,Effekt > Verkrümmungsfilter > Muschel unten …,Эффект > Деформация > Панцирь вниз…,,
Live Deform Shell Upper,FALSE,menu,TRUE,FALSE,,,Effect > Warp > Shell Upper...,Effekt > Verkrümmungsfilter > Muschel oben …,Эффект > Деформация > Панцирь вверх…,,
Live Deform Flag,FALSE,menu,TRUE,FALSE,,,Effect > Warp > Flag...,Effekt > Verkrümmungsfilter > Flagge …,Эффект > Деформация > Флаг…,,
Live Deform Wave,FALSE,menu,TRUE,FALSE,,,Effect > Warp > Wave...,Effekt > Verkrümmungsfilter > Schwingungen …,Эффект > Деформация > Волна…,,
Live Deform Fish,FALSE,menu,TRUE,FALSE,,,Effect > Warp > Fish...,Effekt > Verkrümmungsfilter > Fisch …,Эффект > Деформация > Рыба…,,
Live Deform Rise,FALSE,menu,TRUE,FALSE,,,Effect > Warp > Rise...,Effekt > Verkrümmungsfilter > Ansteigend …,Эффект > Деформация > Подъем…,,
Live Deform Fisheye,FALSE,menu,TRUE,FALSE,,,Effect > Warp > Fisheye...,Effekt > Verkrümmungsfilter > Fischauge …,Эффект > Деформация > Рыбий глаз…,,
Live Deform Inflate,FALSE,menu,TRUE,FALSE,,,Effect > Warp > Inflate...,Effekt > Verkrümmungsfilter > Aufblasen …,Эффект > Деформация > Раздувание…,,
Live Deform Squeeze,FALSE,menu,TRUE,FALSE,,,Effect > Warp > Squeeze...,Effekt > Verkrümmungsfilter > Stauchen …,Эффект > Деформация > Сжатие…,,
Live Deform Twist,FALSE,menu,TRUE,FALSE,,,Effect > Warp > Twist...,Effekt > Verkrümmungsfilter > Wirbel …,Эффект > Деформация > Скручивание…,,
Live PSAdapter_plugin_GEfc,FALSE,menu,TRUE,FALSE,,,Effect > Effect Gallery...,Effekt > Effekte-Galerie …,Эффект > Галерея эффектов…,,
